Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,3123,3123
1,2,0,0,53123,53123
1,3,0,0,103123,103123
1,4,0,0,153123,153123
6,9,0,0,11097,11097
6,10,0,0,111097,111097
9,11,0,0,21062,21062
2,12,0,0,6242,6242
2,13,0,0,56242,56242
2,14,0,0,106242,106242
2,15,0,0,156242,156242
3,16,0,0,7217,7217
3,17,0,0,57217,57217
3,18,0,0,107217,107217
3,19,0,0,157217,157217
4,20,0,0,11986,11986
4,21,0,0,61986,61986
4,22,0,0,111986,111986
4,23,0,0,161986,161986
5,24,0,0,17914,17914
5,25,0,0,67914,67914
5,26,0,0,117914,117914
5,27,0,0,167914,167914
7,28,0,0,23191,23191
7,29,0,0,123191,123191
8,30,0,0,35279,35279
8,31,0,0,135279,135279
10,32,0,0,62067,62067
11,33,0,0,104090,104090
12,34,0,0,126159,126159
