Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,1562,3123,50000,1
1,2,50000,50000,1562,3123,100000,2
1,3,100000,100000,1562,3123,150000,3
1,4,150000,150000,1562,3123,200000,4
2,12,0,0,1560,3119,50000,12
2,13,0,0,1560,3119,100000,13
2,14,0,0,1560,3119,150000,14
2,15,0,0,1560,3119,200000,15
3,16,0,0,2047,4094,50000,16
3,17,0,0,2047,4094,100000,17
3,18,0,0,2047,4094,150000,18
3,19,0,0,2047,4094,200000,19
4,20,0,0,2384,4769,50000,20
4,21,0,0,2384,4769,100000,21
4,22,0,0,2384,4769,150000,22
4,23,0,0,2384,4769,200000,23
5,24,0,0,2964,5928,50000,24
5,25,0,0,2964,5928,100000,25
5,26,0,0,2964,5928,150000,26
5,27,0,0,2964,5928,200000,27
